LAB;EXP;Date of PCR;Plate ID;Experimental Unit LAB;Experimental Unit BRI;Animal ID;CT Gene of Interest;CT Control Gene I;CT Control Gene II;Band Density Gene of Interest;Band Density Control Gene;Exclude?;Experimental Group;Group;Efficiency of primer pair of interest;Efficiency of primer pair of control I;Efficiency of primer pair of control II
LAB27;PCR175;07/04/23;Experiment 2;Control2;1;;21,14;15,22;;;;;Control 2;Group1;;;
LAB27;PCR175;07/04/23;Experiment 2;Control3;1;;20,97;15,2;;;;;Control 3;Group1;;;
LAB27;PCR175;07/04/23;Experiment 2;Control3;1;;20,8;15,23;;;;;Control 3;Group1;;;
LAB27;PCR175;07/04/23;Experiment 2;Control3;1;;20,79;15,25;;;;;Control 3;Group1;;;
LAB27;PCR175;07/04/23;Experiment 2;Galic acid1;1;;21,23;15,31;;;;;Galic acid1;Group2;;;
LAB27;PCR175;07/04/23;Experiment 2;Galic acid1;1;;21,2;15,23;;;;;Galic acid1;Group2;;;
LAB27;PCR175;07/04/23;Experiment 2;Galic acid1;1;;21,27;15,13;;;;;Galic acid1;Group2;;;
LAB27;PCR175;07/04/23;Experiment 2;Galic acid2;1;;21,45;15,28;;;;;Galic acid2;Group2;;;
LAB27;PCR175;07/04/23;Experiment 2;Galic acid2;1;;20,88;15,17;;;;;Galic acid2;Group2;;;
LAB27;PCR175;07/04/23;Experiment 2;Galic acid2;1;;20,92;15,25;;;;;Galic acid2;Group2;;;
LAB27;PCR175;07/04/23;Experiment 2;Galic acid3;1;;21,43;15,43;;;;;Galic acid3;Group2;;;
LAB27;PCR175;07/04/23;Experiment 2;Galic acid3;1;;21,59;15,32;;;;;Galic acid3;Group2;;;
LAB27;PCR175;07/04/23;Experiment 2;Galic acid3;1;;21,65;15,43;;;;;Galic acid3;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MCF-1;1;;;;22,389;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-2;2;;;;20,469;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-3;3;;;;23,77;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-4;4;;;;21,073;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-5;5;;;;21,878;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-1;1;;;33,76;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-2;2;;;30,964;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-3;3;;;35,783;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-4;4;;;32,956;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-5;5;;;34,912;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-1;1;;36,826;;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-2;2;;35,671;;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-3;3;;34,31;;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-4;4;;33,952;;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MCF-5;5;;35,512;;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 1;MDA1;1;;;;19,71;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA2;2;;;;23,089;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA3;3;;;;22,086;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA4;4;;;;18,762;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA5;5;;;;19,254;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA1;1;;;30,31;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA2;2;;;33,381;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA3;3;;;30,804;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA4;4;;;29,781;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA5;5;;;27,179;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA1;1;;32,402;;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA2;2;;35,849;;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA3;3;;34,657;;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA4;4;;36,877;;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA5;5;;32,082;;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 1;MDA1alt;1;;;;18,987;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA2alt;2;;;;21,145;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA3alt;3;;;;19,446;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA4alt;4;;;;21,178;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA5alt;5;;;;19,275;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA1alt;1;;;26,545;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA2alt;2;;;29,434;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA3alt;3;;;26,995;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA4alt;4;;;28,828;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA5alt;5;;;28,18;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA1alt;1;;31,567;;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA2alt;2;;34,093;;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA3alt;3;;33,185;;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA4alt;4;;33,776;;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 1;MDA5alt;5;;33,113;;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;28/01/23;plate 2;MCF-1;1;;;;23,13;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-2;2;;;;20,54;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-3;3;;;;24,56;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-4;4;;;;21,78;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-5;5;;;;22,97;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-1;1;;;29,66;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-2;2;;;31,66;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-3;3;;;37,37;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-4;4;;;34,01;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-5;5;;;36,44;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-1;1;;35,5;;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-2;2;;36,87;;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-3;3;;35,19;;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-4;4;;31,95;;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MCF-5;5;;36,64;;;;;;MCF;Group1;;;
LAB28;PCR147;28/01/23;plate 2;MDA1;1;;;;undetermined;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA2;2;;;;21,02;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA3;3;;;;21,94;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA4;4;;;;18,94;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA5;5;;;;18,67;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA1;1;;;24,29;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA2;2;;;32,69;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA3;3;;;30,22;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA4;4;;;29,02;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA5;5;;;27,85;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA1;1;;34,57;;;;;;MDA-RPMI;;;;
LAB28;PCR147;28/01/23;plate 2;MDA2;2;;36,34;;;;;;MDA-RPMI;;;;
LAB28;PCR147;25/02/23;plate 3;MDA3;3;;35,02;;;;;;MDA-RPMI;;;;
LAB28;PCR147;25/02/23;plate 3;MDA4;4;;33,29;;;;;;MDA-RPMI;;;;
LAB28;PCR147;25/02/23;plate 3;MDA5;5;;36,78;;;;;;MDA-RPMI;;;;
LAB28;PCR147;25/02/23;plate 3;MDA1alt;1;;;;18,9;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA2alt;2;;;;21,92;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA3alt;3;;;;19,59;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA4alt;4;;;;20,31;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA5alt;5;;;;21,28;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA1alt;1;;;26,08;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA2alt;2;;;28,72;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA3alt;3;;;26,29;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA4alt;4;;;28,15;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA5alt;5;;;29,24;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA1alt;1;;32,15;;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA2alt;2;;35,84;;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA3alt;3;;33,42;;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA4alt;4;;36,14;;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR147;25/02/23;plate 3;MDA5alt;5;;35,2;;;;;;MDA-DMEM-F12;Group2;;;
LAB28;PCR184;;;PCR184 - Untreated  1 rep1;1;;;;;;4569,57;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 2 rep1;2;;;;;;4308,26;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 3 rep1;3;;;;;;5404,79;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 4 rep1;4;;;;;;5438,43;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 5 rep1;5;;;;;;5399,6;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 6 rep1;6;;;;;;6773,55;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 7 rep1;7;;;;;;6597,6;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated  1 rep1;1;;;;;3383,31;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 2 rep1;2;;;;;5851,72;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 3 rep1;3;;;;;786,87;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 4 rep1;4;;;;;1404,94;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 5 rep1;5;;;;;1888,89;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 6 rep1;6;;;;;1133,77;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 7 rep1;7;;;;;767,41;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated  1 rep2;1;;;;;;8268,21;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 2 rep2;2;;;;;;6890,84;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 3 rep2;3;;;;;;6360,13;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 4 rep2;4;;;;;;6277,84;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 5 rep2;5;;;;;;7574,38;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 6 rep2;6;;;;;;6140,13;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 7 rep2;7;;;;;;6799,84;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated  1 rep2;1;;;;;3182,18;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 2 rep2;2;;;;;1068,87;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 3 rep2;3;;;;;333,68;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 4 rep2;4;;;;;545,92;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 5 rep2;5;;;;;1415,82;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 6 rep2;6;;;;;934,87;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Untreated 7 rep2;7;;;;;642,87;;;untreated ;;;;
LAB28;PCR184;;;PCR184 - Ethanol 1 rep1;1;;;;;;6218,96;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 2 rep1;2;;;;;;6469,55;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 3 rep1;3;;;;;;5644,55;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 4 rep1;4;;;;;;6768,13;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 5 rep1;5;;;;;;5494,84;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 6 rep1;6;;;;;;6120,84;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 7 rep1;7;;;;;;6116,43;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 1 rep1;1;;;;;382,63;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 2 rep1;2;;;;;4777,6;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - ethanol 3 rep1;3;;;;;1077,82;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 4 rep1;4;;;;;647,7;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 5 rep1;5;;;;;1077,16;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 6 rep1;6;;;;;1279,58;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 7 rep1;7;;;;;4114,6;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 1 rep2;1;;;;;;7620,55;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 2 rep2;2;;;;;;6891,08;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 3 rep2;3;;;;;;7448,67;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 4 rep2;4;;;;;;8101,89;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 5 rep2;5;;;;;;7535,31;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 6 rep2;6;;;;;;7548,89;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol 7 rep2;7;;;;;;7367,13;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - Ethanol  1 rep2;1;;;;;205,85;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - ethanol 2 rep2;2;;;;;3505,89;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - ethanol  3 rep2;3;;;;;220,19;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - ethanol  4 rep2;4;;;;;264,97;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - ethanol  5 rep2;5;;;;;341,26;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - ethanol  6 rep2;6;;;;;264,26;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - ethanol  7 rep2;7;;;;;342,26;;;ethanol;Group1;;;
LAB28;PCR184;;;PCR184 - treated  1 rep1;1;;;;;;9938,65;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 2 rep1;2;;;;;;8089,01;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 3 rep1;3;;;;;;9261,84;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 4 rep1;4;;;;;;9375,96;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 5 rep1;5;;;;;;9823,72;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 6 rep1;6;;;;;;9943,84;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 7 rep1;7;;;;;;10103,6;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated  1 rep1;1;;;;;5680,01;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 2 rep1;2;;;;;5928,13;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 3 rep1;3;;;;;429,21;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 4 rep1;4;;;;;736,87;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 5 rep1;5;;;;;787,58;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 6 rep1;6;;;;;393,39;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 7 rep1;7;;;;;732,34;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated  1 rep2;1;;;;;;8066,21;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 2 rep2;2;;;;;;7497,84;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 3 rep2;3;;;;;;7321,13;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 4 rep2;4;;;;;;7420,79;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 5 rep2;5;;;;;;8607,08;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 6 rep2;6;;;;;;9237,55;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 7 rep2;7;;;;;;8322,13;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated  1 rep2;1;;;;;3327,84;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 2 rep2;2;;;;;2527,31;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 3 rep2;3;;;;;749,75;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 4 rep2;4;;;;;377,26;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 5 rep2;5;;;;;422,68;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 6 rep2;6;;;;;151,19;;;treated;Group2;;;
LAB28;PCR184;;;PCR184 - treated 7 rep2;7;;;;;445,26;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1a - Exp 1 - B-actin;1;;;;;;7005,86;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1b - Exp 1 - B-actin;2;;;;;;2898,13;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2a - Exp 1 - B-actin;3;;;;;;725,75;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2b - Exp 1 - B-actin;4;;;;;;7465,67;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1a -Exp 2 - B-actin;5;;;;;;6309,08;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1b - Exp 2 - B-actin;6;;;;;;12845,03;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2a - Exp 2 - B-actin;7;;;;;;11061,15;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2b - Exp 2 - B-actin;8;;;;;;5048,38;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1a - Exp 1 - ABCC1;1;;;;;2185,48;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1b - Exp 1 - ABCC1;2;;;;;775,11;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2a - Exp 1 - ABCC1;3;;;;;6710,38;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2b - Exp 1 - ABCC1;4;;;;;2704,43;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1a -Exp 2 - ABCC1;5;;;;;4225,38;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1b - Exp 2 - ABCC1;6;;;;;5768,91;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2a - Exp 2 - ABCC1;7;;;;;9497,43;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2b - Exp 2 - ABCC1;8;;;;;8254,89;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1a - Exp 1 - B-actin;1;;;;;;8223,62;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1b - Exp 1 - B-actin;2;;;;;;3261,89;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2a - Exp 1 - B-actin;3;;;;;;3512,26;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2b - Exp 1 - B-actin;4;;;;;;3247,13;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1a -Exp 2 - B-actin;5;;;;;;5023,91;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1b - Exp 2 - B-actin;6;;;;;;10412,62;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2a - Exp 2 - B-actin;7;;;;;;9577,79;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2b - Exp 2 - B-actin;8;;;;;;7210,13;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1a - Exp 1 - ABCC1;1;;;;;4992,67;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1b - Exp 1 - ABCC1;2;;;;;529,11;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2a - Exp 1 - ABCC1;3;;;;;6171,96;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2b - Exp 1 - ABCC1;4;;;;;2990,18;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1a -Exp 2 - ABCC1;5;;;;;6937,31;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1b - Exp 2 - ABCC1;6;;;;;5028,96;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2a - Exp 2 - ABCC1;7;;;;;9804,74;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;2b - Exp 2 - ABCC1;8;;;;;8772,67;;;Untreated;Group1;;;
LAB28;PCR35;11/06/22;;1a - Exp 1 - B-actin;1;;;;;;12301,52;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1b - Exp 1 - B-actin;2;;;;;;885,01;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2a - Exp 1 - B-actin;3;;;;;;1818,48;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2b - Exp 1 - B-actin;4;;;;;;7375,03;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1a -Exp 2 - B-actin;5;;;;;;2520,43;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1b - Exp 2 - B-actin;6;;;;;;7210,4;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2a - Exp 2 - B-actin;7;;;;;;5600,91;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2b - Exp 2 - B-actin;8;;;;;;5069,15;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1a - Exp 1 - ABCC1;1;;;;;6178,15;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1b - Exp 1 - ABCC1;2;;;;;2706,55;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2a - Exp 1 - ABCC1;3;;;;;1014,28;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2b - Exp 1 - ABCC1;4;;;;;3604,55;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1a -Exp 2 - ABCC1;5;;;;;2836,06;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1b - Exp 2 - ABCC1;6;;;;;2392,38;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2a - Exp 2 - ABCC1;7;;;;;2636,43;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2b - Exp 2 - ABCC1;8;;;;;10735,15;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1a - Exp 1 - B-actin;1;;;;;;9492;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1b - Exp 1 - B-actin;2;;;;;;991,89;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2a - Exp 1 - B-actin;3;;;;;;905,99;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2b - Exp 1 - B-actin;4;;;;;;6110,69;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1a -Exp 2 - B-actin;5;;;;;;2159,31;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1b - Exp 2 - B-actin;6;;;;;;5970,38;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2a - Exp 2 - B-actin;7;;;;;;8443,69;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2b - Exp 2 - B-actin;8;;;;;;3300,33;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1a - Exp 1 - ABCC1;1;;;;;5368,81;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1b - Exp 1 - ABCC1;2;;;;;2620,31;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2a - Exp 1 - ABCC1;3;;;;;5084,5;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2b - Exp 1 - ABCC1;4;;;;;7325,96;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1a -Exp 2 - ABCC1;5;;;;;2241,01;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;1b - Exp 2 - ABCC1;6;;;;;2539,31;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2a - Exp 2 - ABCC1;7;;;;;3734,67;;;treated;Group2;;;
LAB28;PCR35;11/06/22;;2b - Exp 2 - ABCC1;8;;;;;13976,57;;;treated;Group2;;;
LAB32;PCR61;26/10/22;PCR61_01;1_RP1;1;;26,84;14,58;;;;;GRX + Ethanol (Control);;;;
LAB32;PCR61;26/10/22;PCR61_01;1_RP2;1;;26,82;14,75;;;;;GRX + Ethanol (Control);;;;
LAB32;PCR61;26/10/22;PCR61_01;1_RP3;1;;26,9;14,8;;;;;GRX + Ethanol (Control);;;;
LAB32;PCR61;26/10/22;PCR61_01;2_RP1;1;;25,96;13,67;;;;;Retinol (RHO);Group1;;;
LAB32;PCR61;26/10/22;PCR61_01;2_RP2;1;;26,06;13,85;;;;;Retinol (RHO);Group1;;;
